{'pitch': 3.63, 'roll': -3.0, 'pitch_output': 5.63, 'roll_output': 3.0, 'servo1_output': 10.629999999999999, 'servo2_output': 4.63, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 42.77, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.091, 'servo2': 7.757}
{'pitch': 3.63, 'roll': -3.0, 'pitch_output': 5.63, 'roll_output': 3.0, 'servo1_output': 10.629999999999999, 'servo2_output': 4.63, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 41.85, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.091, 'servo2': 7.757}
{'pitch': -0.61, 'roll': -4.0, 'pitch_output': 1.3900000000000001, 'roll_output': 4.0, 'servo1_output': 7.390000000000001, 'servo2_output': -0.6099999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 42.02, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.911, 'servo2': 7.466}
{'pitch': -0.61, 'roll': -4.0, 'pitch_output': 1.3900000000000001, 'roll_output': 4.0, 'servo1_output': 7.390000000000001, 'servo2_output': -0.6099999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 41.17, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.911, 'servo2': 7.466}
{'pitch': -9.67, 'roll': -5.41, 'pitch_output': -7.67, 'roll_output': 5.41, 'servo1_output': -0.2599999999999998, 'servo2_output': -11.08, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 41.38, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.486, 'servo2': 6.884}
{'pitch': -9.67, 'roll': -5.41, 'pitch_output': -7.67, 'roll_output': 5.41, 'servo1_output': -0.2599999999999998, 'servo2_output': -11.08, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 40.59, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.486, 'servo2': 6.884}
{'pitch': -21.02, 'roll': -9.44, 'pitch_output': -19.02, 'roll_output': 9.44, 'servo1_output': -7.58, 'servo2_output': -26.46, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 41.19, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.079, 'servo2': 6.03}
{'pitch': -21.02, 'roll': -9.44, 'pitch_output': -19.02, 'roll_output': 9.44, 'servo1_output': -7.58, 'servo2_output': -26.46, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 40.45, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.079, 'servo2': 6.03}
{'pitch': -27.69, 'roll': -13.8, 'pitch_output': -25.69, 'roll_output': 13.8, 'servo1_output': -9.89, 'servo2_output': -37.49, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 40.7, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.951, 'servo2': 5.417}
{'pitch': -27.69, 'roll': -13.8, 'pitch_output': -25.69, 'roll_output': 13.8, 'servo1_output': -9.89, 'servo2_output': -37.49, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 40.01, 'obstacle_time': 0.79, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.951, 'servo2': 5.417}
