{'pitch': 0.76, 'roll': 19.56, 'pitch_output': 0.76, 'roll_output': -49.56, 'servo1_output': -46.800000000000004, 'servo2_output': 52.32, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 42.78, 'obstacle_time': 2.78, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.9, 'servo2': 10.407}
{'pitch': 1.25, 'roll': 19.46, 'pitch_output': 1.25, 'roll_output': -49.46, 'servo1_output': -46.21, 'servo2_output': 52.71, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 43.73, 'obstacle_time': 2.78, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.933, 'servo2': 10.428}
{'pitch': 1.25, 'roll': 19.46, 'pitch_output': 1.25, 'roll_output': -49.46, 'servo1_output': -46.21, 'servo2_output': 52.71, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 42.71, 'obstacle_time': 2.78, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.933, 'servo2': 10.428}
{'pitch': 1.77, 'roll': 19.88, 'pitch_output': 1.77, 'roll_output': -49.879999999999995, 'servo1_output': -46.10999999999999, 'servo2_output': 53.65, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 42.95, 'obstacle_time': 2.78, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.938, 'servo2': 10.481}
{'pitch': 1.77, 'roll': 19.88, 'pitch_output': 1.77, 'roll_output': -49.879999999999995, 'servo1_output': -46.10999999999999, 'servo2_output': 53.65, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 42.02, 'obstacle_time': 3.45, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.938, 'servo2': 10.481}
{'pitch': 2.04, 'roll': 19.93, 'pitch_output': 2.04, 'roll_output': -49.93, 'servo1_output': -45.89, 'servo2_output': 53.97, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 42.21, 'obstacle_time': 3.45, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.951, 'servo2': 10.498}
{'pitch': 2.04, 'roll': 19.93, 'pitch_output': 2.04, 'roll_output': -49.93, 'servo1_output': -45.89, 'servo2_output': 53.97, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 41.36, 'obstacle_time': 3.45, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.951, 'servo2': 10.498}
{'pitch': 2.43, 'roll': 20.26, 'pitch_output': 2.43, 'roll_output': -50.260000000000005, 'servo1_output': -45.830000000000005, 'servo2_output': 54.690000000000005, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 42.21, 'obstacle_time': 3.45, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.954, 'servo2': 10.538}
{'pitch': 2.43, 'roll': 20.26, 'pitch_output': 2.43, 'roll_output': -50.260000000000005, 'servo1_output': -45.830000000000005, 'servo2_output': 54.690000000000005, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 41.4, 'obstacle_time': 3.82, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.954, 'servo2': 10.538}
{'pitch': 2.62, 'roll': 20.54, 'pitch_output': 2.62, 'roll_output': -50.54, 'servo1_output': -45.92, 'servo2_output': 55.16, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 41.64, 'obstacle_time': 3.82, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.949, 'servo2': 10.564}
