{'pitch': 13.27, 'roll': 0.65, 'pitch_output': -16.73, 'roll_output': -0.65, 'servo1_output': -15.379999999999999, 'servo2_output': -14.080000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.65, 'obstacle_time': 4.11, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.646, 'servo2': 6.718}
{'pitch': 13.27, 'roll': 0.64, 'pitch_output': -16.73, 'roll_output': -0.64, 'servo1_output': -15.370000000000001, 'servo2_output': -14.09, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 40.34, 'obstacle_time': 4.11, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.646, 'servo2': 6.717}
{'pitch': 13.27, 'roll': 0.64, 'pitch_output': -16.73, 'roll_output': -0.64, 'servo1_output': -15.370000000000001, 'servo2_output': -14.09, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.69, 'obstacle_time': 4.11, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.646, 'servo2': 6.717}
{'pitch': 13.27, 'roll': 0.64, 'pitch_output': -16.73, 'roll_output': -0.64, 'servo1_output': -15.370000000000001, 'servo2_output': -14.09, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.92, 'obstacle_time': 4.11, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.646, 'servo2': 6.717}
{'pitch': 13.27, 'roll': 0.64, 'pitch_output': -16.73, 'roll_output': -0.64, 'servo1_output': -15.370000000000001, 'servo2_output': -14.09, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.31, 'obstacle_time': 4.11, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.646, 'servo2': 6.717}
{'pitch': 13.27, 'roll': 0.63, 'pitch_output': -16.73, 'roll_output': -0.63, 'servo1_output': -15.36, 'servo2_output': -14.100000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.55, 'obstacle_time': 4.11, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.647, 'servo2': 6.717}
{'pitch': 13.27, 'roll': 0.63, 'pitch_output': -16.73, 'roll_output': -0.63, 'servo1_output': -15.36, 'servo2_output': -14.100000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.97, 'obstacle_time': 4.12, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.647, 'servo2': 6.717}
{'pitch': 13.27, 'roll': 0.63, 'pitch_output': -16.73, 'roll_output': -0.63, 'servo1_output': -15.36, 'servo2_output': -14.100000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.66, 'obstacle_time': 4.12, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.647, 'servo2': 6.717}
{'pitch': 13.27, 'roll': 0.63, 'pitch_output': -16.73, 'roll_output': -0.63, 'servo1_output': -15.36, 'servo2_output': -14.100000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.1, 'obstacle_time': 4.12, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.647, 'servo2': 6.717}
{'pitch': 13.28, 'roll': 0.6, 'pitch_output': -16.72, 'roll_output': -0.6, 'servo1_output': -15.32, 'servo2_output': -14.119999999999997, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.29, 'obstacle_time': 4.12, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.649, 'servo2': 6.716}
