{'pitch': -2.73, 'roll': -1.04, 'pitch_output': -2.73, 'roll_output': 31.04, 'servo1_output': 30.31, 'servo2_output': -31.769999999999996, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 46.3, 'obstacle_time': 2.77, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.184, 'servo2': 5.735}
{'pitch': -2.73, 'roll': -1.04, 'pitch_output': -2.73, 'roll_output': 31.04, 'servo1_output': 30.31, 'servo2_output': -31.769999999999996, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 45.24, 'obstacle_time': 2.77, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.184, 'servo2': 5.735}
{'pitch': -2.34, 'roll': -1.1, 'pitch_output': -2.34, 'roll_output': 31.1, 'servo1_output': 30.76, 'servo2_output': -31.439999999999998, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 46.1, 'obstacle_time': 2.77, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.209, 'servo2': 5.753}
{'pitch': -2.34, 'roll': -1.1, 'pitch_output': -2.34, 'roll_output': 31.1, 'servo1_output': 30.76, 'servo2_output': -31.439999999999998, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 45.11, 'obstacle_time': 3.59, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.209, 'servo2': 5.753}
{'pitch': -1.99, 'roll': -1.26, 'pitch_output': -1.99, 'roll_output': 31.26, 'servo1_output': 31.270000000000003, 'servo2_output': -31.25, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 45.19, 'obstacle_time': 3.59, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.237, 'servo2': 5.764}
{'pitch': -1.99, 'roll': -1.26, 'pitch_output': -1.99, 'roll_output': 31.26, 'servo1_output': 31.270000000000003, 'servo2_output': -31.25, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 44.27, 'obstacle_time': 3.59, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.237, 'servo2': 5.764}
{'pitch': -1.69, 'roll': -1.13, 'pitch_output': -1.69, 'roll_output': 31.13, 'servo1_output': 31.439999999999998, 'servo2_output': -30.82, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 45.03, 'obstacle_time': 3.59, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.247, 'servo2': 5.788}
{'pitch': -1.69, 'roll': -1.13, 'pitch_output': -1.69, 'roll_output': 31.13, 'servo1_output': 31.439999999999998, 'servo2_output': -30.82, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 44.17, 'obstacle_time': 4.1, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.247, 'servo2': 5.788}
{'pitch': -1.37, 'roll': -1.34, 'pitch_output': -1.37, 'roll_output': 31.34, 'servo1_output': 31.97, 'servo2_output': -30.71, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 44.3, 'obstacle_time': 4.1, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.276, 'servo2': 5.794}
{'pitch': -1.37, 'roll': -1.34, 'pitch_output': -1.37, 'roll_output': 31.34, 'servo1_output': 31.97, 'servo2_output': -30.71, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 43.51, 'obstacle_time': 4.43, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.276, 'servo2': 5.794}
{'pitch': -1.37, 'roll': -1.44, 'pitch_output': -1.37, 'roll_output': 31.44, 'servo1_output': 32.07, 'servo2_output': -30.810000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 43.67, 'obstacle_time': 4.43, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.282, 'servo2': 5.788}
{'pitch': -1.37, 'roll': -1.44, 'pitch_output': -1.37, 'roll_output': 31.44, 'servo1_output': 32.07, 'servo2_output': -30.810000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 42.92, 'obstacle_time': 4.43, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.282, 'servo2': 5.788}
{'pitch': -1.38, 'roll': -1.6, 'pitch_output': -1.38, 'roll_output': 31.6, 'servo1_output': 32.22, 'servo2_output': -30.980000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 43.92, 'obstacle_time': 4.43, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.29, 'servo2': 5.779}
{'pitch': -1.38, 'roll': -1.6, 'pitch_output': -1.38, 'roll_output': 31.6, 'servo1_output': 32.22, 'servo2_output': -30.980000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 43.2, 'obstacle_time': 4.56, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.29, 'servo2': 5.779}
{'pitch': -1.7, 'roll': -2.07, 'pitch_output': -1.7, 'roll_output': 32.07, 'servo1_output': 32.370000000000005, 'servo2_output': -31.770000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 43.35, 'obstacle_time': 4.56, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.298, 'servo2': 5.735}
{'pitch': -1.7, 'roll': -2.07, 'pitch_output': -1.7, 'roll_output': 32.07, 'servo1_output': 32.370000000000005, 'servo2_output': -31.770000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 42.68, 'obstacle_time': 4.56, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.298, 'servo2': 5.735}
{'pitch': -2.24, 'roll': -2.26, 'pitch_output': -2.24, 'roll_output': 32.26, 'servo1_output': 32.019999999999996, 'servo2_output': -32.5, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 42.81, 'obstacle_time': 4.56, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.279, 'servo2': 5.694}
{'pitch': -2.24, 'roll': -2.26, 'pitch_output': -2.24, 'roll_output': 32.26, 'servo1_output': 32.019999999999996, 'servo2_output': -32.5, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 42.17, 'obstacle_time': 4.71, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.279, 'servo2': 5.694}
{'pitch': -2.4, 'roll': -2.55, 'pitch_output': -2.4, 'roll_output': 32.55, 'servo1_output': 32.15, 'servo2_output': -32.949999999999996, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 42.72, 'obstacle_time': 4.71, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.286, 'servo2': 5.669}
{'pitch': -2.4, 'roll': -2.55, 'pitch_output': -2.4, 'roll_output': 32.55, 'servo1_output': 32.15, 'servo2_output': -32.949999999999996, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 42.12, 'obstacle_time': 4.71, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.286, 'servo2': 5.669}
{'pitch': -2.34, 'roll': -2.58, 'pitch_output': -2.34, 'roll_output': 32.58, 'servo1_output': 32.239999999999995, 'servo2_output': -32.92, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 42.28, 'obstacle_time': 4.71, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.291, 'servo2': 5.671}
{'pitch': -2.34, 'roll': -2.58, 'pitch_output': -2.34, 'roll_output': 32.58, 'servo1_output': 32.239999999999995, 'servo2_output': -32.92, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.7, 'obstacle_time': 4.8, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.291, 'servo2': 5.671}
